No,year,month,TEMP,Temperature_Kelvin
1,2013,3,5.904032258,279.0540323
2,2013,4,12.41222222,285.5622222
3,2013,5,21.98561828,295.1356183
4,2013,6,23.70638889,296.8563889
5,2013,7,27.27163978,300.4216398
6,2013,8,26.96733871,300.1173387
7,2013,9,20.38027778,293.5302778
8,2013,10,13.42741935,286.5774194
9,2013,11,6.698333333,279.8483333
10,2013,12,0.839784946,273.9897849
11,2014,1,-0.011021505,273.1389785
12,2014,2,-0.420089286,272.7299107
13,2014,3,10.07849462,283.2284946
14,2014,4,17.33458333,290.4845833
15,2014,5,22.02620968,295.1762097
16,2014,6,25.14333333,298.2933333
17,2014,7,28.35873656,301.5087366
18,2014,8,26.35698925,299.5069892
19,2014,9,20.80125,293.95125
20,2014,10,13.61706989,286.7670699
21,2014,11,6.360694444,279.5106944
22,2014,12,-0.570564516,272.5794355
23,2015,1,-0.616129032,272.533871
24,2015,2,1.511309524,274.6613095
25,2015,3,8.747020609,281.8970206
26,2015,4,15.67458333,288.8245833
27,2015,5,21.39112903,294.541129
28,2015,6,24.58583333,297.7358333
29,2015,7,26.2483871,299.3983871
30,2015,8,26.23481183,299.3848118
31,2015,9,20.40291667,293.5529167
32,2015,10,14.43884409,287.5888441
33,2015,11,3.215277778,276.3652778
34,2015,12,0.031182796,273.1811828
35,2016,1,-4.150268817,268.9997312
36,2016,2,1.436494253,274.5864943
37,2016,3,8.850134409,282.0001344
38,2016,4,16.32805556,289.4780556
39,2016,5,21.06290323,294.2129032
40,2016,6,25.38569444,298.5356944
41,2016,7,27.11129032,300.2612903
42,2016,8,27.18844086,300.3384409
43,2016,9,21.16575485,294.3157549
44,2016,10,12.81889801,285.968898
45,2016,11,4.117361111,277.2673611
46,2016,12,0.099865591,273.2498656
47,2017,1,-1.350801491,271.7991985
48,2017,2,2.375523313,275.5255233
